School DBN,school_avg_attendance,school_std_attendance
01M015,92.56892290988192,4.8405210817722795
01M019,90.55167141578191,8.90647334964668
01M020,92.06000109620379,3.9714867600628607
01M034,88.45262517390637,7.080064898331105
01M063,90.79886478538792,5.086158801297205
01M064,88.60301019271404,6.832874367378392
01M110,93.83044289412135,3.559877443567647
01M134,89.29782342488109,6.567838071659237
01M140,88.4939294070403,6.110352729797041
01M142,90.56066683310581,5.176475340692847
01M184,97.5512252229761,1.3017105377590732
01M188,87.78426125553463,6.71719596939983
01M292,91.79794837181686,4.63588057274299
01M315,94.5791750982603,2.757553079538245
01M332,91.73246973704127,4.847541535787147
01M361,91.76358787510699,4.140797042323706
01M363,93.43250423793009,3.8482108609055286
01M364,93.00666563236132,4.107931085423477
01M378,89.18327693551035,6.8777223159722825
01M448,91.21024047055397,4.223903150724679
01M450,94.71006778618207,3.222282318547848
01M458,53.34341833524565,9.756835686140272
01M509,79.68545555709622,7.095731654977306
01M515,74.3756810980768,7.437633565065229
01M539,93.33303405801364,10.329307158610344
01M650,57.975118512889374,8.57275514754197
01M696,95.03247354617858,4.543174827028932
01M839,95.0747671760065,2.6362697545258955
02M001,94.24048442990929,3.067926670846577
02M002,96.32335458669597,1.6276089779506477
02M003,93.50193294394785,4.042227457620693
02M006,95.48058085223177,3.064484904195191
02M011,94.86504643250817,2.8344777396431895
02M033,92.82289960043107,3.430112447985785
02M040,95.65024648565542,2.428874776704677
02M041,95.84428714992725,3.005560412100816
02M042,97.08151870324224,1.1508034291915337
02M047,89.99982605386768,5.353301428567338
02M051,91.31605612788621,4.577270702072701
02M059,95.68459235123191,2.261798160048167
02M077,96.75665350044832,3.0035387250412127
02M089,96.14050634353129,3.083599276611447
02M104,96.45736908988796,2.6161304881378222
02M111,91.45309415314813,3.904386861818512
02M114,97.37811348985583,2.678924383561699
02M116,94.20600682979278,2.4438188904780493
02M124,97.81247029403558,1.2984494689823007
02M126,96.73120968707049,1.694635435267324
02M130,97.95542124536803,0.9315615200218577
02M131,97.27988326936789,1.4448182224174557
02M135,86.14506609401958,5.697769418491944
02M139,84.52937871626968,8.800525367233762
02M150,96.00086600443754,2.9931770253435
02M151,93.1747582588034,3.832124006083192
02M158,95.2093039465994,3.1280816694823623
02M167,95.86147003311682,3.435293005154844
02M177,94.94347188034328,3.1284236332500495
02M183,95.76607110778464,2.849032930055342
02M198,94.38374548829538,3.1496040027149848
02M212,94.73769831841678,2.8453752479635406
02M217,95.02050352954795,2.3404015824337825
02M225,93.1593240737653,4.2952178927266935
02M234,95.57819349551332,3.2436134897571796
02M255,97.19845424801734,2.306003297771739
02M260,92.49144005083042,13.61672965615041
02M267,95.38785110856705,3.065943875714269
02M276,95.4711270097449,2.8381210606075373
02M280,89.33012694165907,5.952222188926921
02M281,94.71583233019565,2.5562902712421933
02M282,89.17264899458566,4.882700278662444
02M288,88.00507976600596,7.110534353969855
02M289,96.9225638598362,3.564027049182814
02M290,95.546418937909,2.7396117783918608
02M294,88.72878016988078,5.088032005043823
02M296,84.26317889519159,5.69618292362992
02M297,94.24473264933393,3.122815911578883
02M298,87.04498243695099,7.30590084314729
02M300,81.48421564839384,5.06221423909486
02M303,80.19427773107688,7.806475354082478
02M305,85.2613198508496,5.290595039864164
02M308,86.54138984584043,8.09490460827784
02M312,98.16975770630559,1.4573251209657716
02M313,67.48907394932098,9.495720344456306
02M316,81.1725304042307,6.810995488781627
02M340,94.32873238235389,3.6642693878426416
02M343,95.59026581628585,2.7990692218277555
02M347,90.3849884693109,3.893520855927688
02M374,83.97969685096827,7.566320424321851
02M376,94.84156325162992,2.9466891233652155
02M392,84.9933328414112,4.854748613793342
02M393,85.72922056722165,8.578930356759908
02M394,92.18350664657599,3.7973732372334044
02M397,95.01416135182977,3.1457909225327043
02M399,83.34565745945879,6.71461093984527
02M400,86.25439442000216,6.244474808753734
02M407,90.87283430115366,11.787761420359995
02M408,89.94860356541052,16.308736342930406
02M411,96.17532099456592,2.982039625513153
02M412,94.15555466873757,6.943926549743021
02M413,93.56049997417111,10.594859617321708
02M414,93.2095587149576,5.433651801647341
02M416,96.39068969647043,7.8915260816421124
02M418,96.87412942146496,5.447944444362631
02M419,80.18826606925984,7.420477225692568
02M420,92.03475314926256,3.313738770693174
02M422,83.92291650313724,15.91420622699055
02M425,83.34760167280112,5.922229780191888
02M427,86.33483501094622,8.036677617995409
02M432,80.77757075809177,7.116577737372726
02M437,82.60090763373762,7.20438661434093
02M438,88.68209157849796,4.3582454878699
02M439,98.12133583196646,1.2068033930765043
02M442,96.65139579790281,2.172107443694749
02M449,87.24864343369335,4.29551674977758
02M459,87.69097974235277,5.607209149007525
02M475,96.92879770191078,3.9111453774971965
02M489,89.92362445220209,3.649530167786289
02M500,80.83709117402434,6.573768583069156
02M507,92.38491401249647,3.918389198447234
02M519,91.0230378835648,3.874927665490991
02M520,76.5806538653101,12.177762579419
02M527,95.61718047263223,3.0233805494769395
02M529,77.99800667280209,10.794729055006195
02M531,91.05683560718114,6.259907339482561
02M533,88.04797329088898,8.248368269758306
02M534,86.27929708219197,4.047287320204981
02M542,90.61236430435581,5.444637575330379
02M543,82.86093837199034,6.665356936604832
02M544,53.155523455970474,9.429339331506661
02M545,98.45561531390968,0.9308911878767517
02M546,89.53382710979942,4.102607025692531
02M550,85.84718104838328,4.893480772653698
02M551,88.8550241788811,8.863438093109407
02M560,43.78986417321268,12.348732275083332
02M565,93.82561307046844,1.8186936366462787
02M570,55.53203512962208,17.944420113333457
02M575,72.88629411059453,8.226653838553407
02M580,90.54125792136246,3.8029606891492955
02M586,69.65607378107664,7.621098335627601
02M600,90.38582466507941,5.8230479271570665
02M605,84.08872022801049,5.348125278620136
02M615,85.76916813242457,6.2379338363995265
02M630,89.56891174194894,4.665591436592881
02M655,77.47778000244932,10.787855063033078
02M896,96.68280837869409,2.380174418204642
02M933,91.31892583515425,6.0494343346983666
03M009,95.64447314233182,2.4762243656832785
03M054,96.4505771139098,2.816602030283961
03M075,93.44982336203205,4.1253361781961795
03M076,88.81384847491303,5.913796112829096
03M084,93.62071315748244,3.539466757204877
03M087,95.55496313097125,2.466630751572761
03M145,87.92883969158052,5.487256110706322
03M149,93.47241105356022,5.458051111667892
03M163,93.54240112856114,4.390073384774742
03M165,90.97115716882986,5.137432033362896
03M166,96.19542454344277,2.354334191477274
03M180,90.47815179670023,5.4193108043479885
03M185,91.21294157844389,5.196583301334669
03M191,90.71078790334961,4.9596375590108295
03M199,96.00932494680305,3.007918759942495
03M241,92.0000339095225,5.625901172561937
03M242,90.36669707736014,7.364327807844034
03M243,97.2918152207974,2.048862564898875
03M245,96.21215390542271,2.5038223818800067
03M247,95.34106907496921,2.9299685678676917
